category,use_case,dialogs,tokens_est,agent_failures,recovered_errors,tools,example_request
Анализ данных и отчетность,Выгрузка CRM в Excel,5,301192,0,1,crm.get_company; crm.search_deals; database.query; excel.create,"Нужна выгрузка по клиентам из CRM для руководителя: активные сделки, стадия, сумма и последняя активность. Проверь, чтобы не было дублей."
Генерация текста и документов,Деловое письмо клиенту,5,302790,0,1,confluence.search; crm.get_company; gmail.get_thread; gmail.search,Нужно ответить клиенту после вчерашней встречи: собери из переписки договорённости и подготовь спокойное письмо с планом следующих шагов.
Общие вопросы и нерабочие запросы,Домашний рецепт,5,290857,0,0,calculator; notes.search; recipe.search; web.search,"Хочу на выходных сделать оладьи. Дай надёжный рецепт на четыре порции и подскажи, как не переборщить с маслом."
Автоматизация рабочих процессов,Еженедельная рассылка продаж,5,301870,0,0,crm.search_deals; excel.create; gmail.draft; workflow.get_rules,"Настрой еженедельную сводку по выигранным тендерам для команды продаж: собираем CRM, формируем таблицу и отправляем в понедельник в 10:00."
Поиск и сбор информации,Исследование клиента,5,293167,0,1,crm.get_company; crm.search_deals; web.open; web.search,"Найди по компании клиента Орбита: кто принимает решения в дочерних обществах, какие у нас были сделки и что нового появилось в открытых источниках."
Управление коммуникациями,Итоги встречи,5,296051,0,1,calendar.get_event; contacts.lookup; meeting.transcript; slack.get_channel_history,"Собери из записи встречи итоги, решения, владельцев и дедлайны. Потом подготовь короткое сообщение в командный чат."
Автоматизация рабочих процессов,Контроль писем без ответа,5,308176,0,0,crm.search_deals; gmail.search; notifications.preview; workflow.get_rules,"Хочу, чтобы агент каждые два часа проверял письма с запросом цены и напоминал мне, если клиенту не ответили вовремя. Сначала покажи, по каким правилам это будет работать."
Работа с задачами и проектами,Мониторинг статусов проектов,5,308911,0,1,isup.get_milestones; isup.get_project; isup.search_projects; jira.search_issue,"Проверь статусы проектов в ИСУП. Интересуют переходы в риск, просрочки контрольных точек и проекты без обновления больше недели."
Обучение и объяснение,Объяснение корпоративного процесса,5,301657,0,0,confluence.get_page; confluence.search; jira.search_issue; sharepoint.search,"Объясни простыми словами, как у нас проходит согласование договора: что делает менеджер, юрист и финансовый контролёр. С примерами типичных задержек."
Анализ данных и отчетность,Отчёт по выигранным тендерам,5,306944,0,1,crm.get_company; crm.search_deals; database.query; excel.read,"Сделай короткий отчёт по выигранным тендерам за последние семь дней: сумма, ответственный, отрасль и что важно вынести на планёрку."
Общие вопросы и нерабочие запросы,Планирование отпуска,5,298810,0,0,calculator; maps.search; travel.search; web.search,"Помоги прикинуть бюджет поездки в Калининград на неделю для двоих в конце сентября: дорога, жильё, еда и пара экскурсий. Нужен диапазон, а не точность до рубля."
Планирование и календарь,Подготовка к завтрашним встречам,5,306930,0,0,calendar.get_events; confluence.search; crm.get_company; gmail.search,"Что у меня завтра по встречам? Для встреч с клиентами вытащи последние договорённости и напомни, что нужно подготовить."
Поиск и сбор информации,Поиск внутренних регламентов,5,302656,0,1,confluence.get_page; confluence.search; drive.search; sharepoint.search,Не могу быстро найти актуальный порядок согласования закупки. Посмотри в базе знаний и дай ссылки именно на действующие документы.
Планирование и календарь,Поиск общего слота,5,291594,0,0,calendar.find_slots; calendar.get_events; contacts.lookup; rooms.search,Найди на следующей неделе 45 минут для встречи с командой проекта и заказчиком. Лучше не утром и нужна переговорная на восемь человек.
Обучение и объяснение,Разбор SQL-ошибки,5,286538,0,0,code.analyze; confluence.search; database.query; web.search,"Объясни, почему мой SQL-запрос дублирует строки после join. Не просто исправь, а покажи на маленьком примере, где я ошибся."
Работа с задачами и проектами,Разбор задач Jira,5,302150,0,1,confluence.search; jira.get_comments; jira.get_issue; jira.search_issue,"Покажи мои задачи на эту неделю, отдельно просроченные и блокированные. Для двух самых срочных собери контекст из комментариев."
Помощь с кодом и техническими вопросами,Разбор инцидента,5,306176,0,0,docker.get_containers; git.get_commits; jira.search_issue; monitoring.get_metrics,"Почему контейнер API упал утром? Посмотри логи, последние деплои и связанные задачи. Нужен человеческий вывод: причина, влияние, что уже сделано."
Управление коммуникациями,Разбор почты и ответ клиенту,5,308619,0,1,calendar.get_events; crm.get_company; gmail.get_thread; gmail.search,"Прочитай цепочку с Орбита, скажи, где мы обещали вернуться с расчётом, и предложи ответ без обещаний, которые пока не можем выполнить."
Помощь с кодом и техническими вопросами,Ревью Python-кода,5,299789,0,0,code.analyze; confluence.search; git.get_diff; jira.search_issue,"Посмотри изменения в сервисе расчёта скидок. Найди рискованные места, особенно обработку пустых данных и округление денег."
Генерация текста и документов,Черновик технического задания,5,312953,0,1,confluence.search; drive.search; gmail.search; jira.search_issue,"Собери черновик ТЗ по итогам обсуждения: интеграция CRM с витриной, роли пользователей, сроки и открытые вопросы. Без канцелярита, пожалуйста."
