request_id,session_id,user_id,agent_id,department,created_at,category,use_case,classification_source,first_user_message,tools,tool_calls,agent_failed,agent_recovered_error,user_tokens_est,assistant_tokens_est,tool_tokens_est,total_tokens_est,estimated_minutes_saved,token_count_method,allocated_cost_rub,fte_savings_rub,net_benefit_rub,business_case_positive
sess_20260603_000001,sess_20260603_000001,usr_000001,agent_project_03,Разработка,2026-06-03T10:18:00Z,Генерация текста и документов,Деловое письмо клиенту,source_label,Нужно ответить клиенту после вчерашней встречи: собери из переписки договорённости и подготовь спокойное письмо с планом следующих шагов.,confluence.search; crm.get_company; gmail.get_thread; gmail.search,11,False,True,57,289,65846,66192,20.0,chars_div_4_estimate,61770.61,530.3,-61240.3,False
sess_20260625_000002,sess_20260625_000002,usr_000021,agent_sales_02,Маркетинг,2026-06-25T14:10:00Z,Генерация текста и документов,Черновик технического задания,source_label,"Собери черновик ТЗ по итогам обсуждения: интеграция CRM с витриной, роли пользователей, сроки и открытые вопросы. Без канцелярита, пожалуйста.",confluence.search; drive.search; gmail.search; jira.search_issue,11,False,True,59,285,65862,66206,20.0,chars_div_4_estimate,61783.67,530.3,-61253.37,False
sess_20260611_000003,sess_20260611_000003,usr_000001,agent_engineering_04,Проектный офис,2026-06-11T10:06:00Z,Поиск и сбор информации,Исследование клиента,source_label,"Найди по компании клиента Орбита: кто принимает решения в дочерних обществах, какие у нас были сделки и что нового появилось в открытых источниках.",crm.get_company; crm.search_deals; web.open; web.search,11,False,True,57,285,64009,64351,25.0,chars_div_4_estimate,60052.58,662.88,-59389.7,False
sess_20260630_000004,sess_20260630_000004,usr_000004,agent_sales_02,Проектный офис,2026-06-30T15:42:00Z,Поиск и сбор информации,Поиск внутренних регламентов,source_label,Не могу быстро найти актуальный порядок согласования закупки. Посмотри в базе знаний и дай ссылки именно на действующие документы.,confluence.get_page; confluence.search; drive.search; sharepoint.search,11,False,True,55,288,68562,68905,25.0,chars_div_4_estimate,64302.39,662.88,-63639.51,False
sess_20260624_000005,sess_20260624_000005,usr_000013,agent_sales_02,Проектный офис,2026-06-24T16:04:00Z,Анализ данных и отчетность,Отчёт по выигранным тендерам,source_label,"Сделай короткий отчёт по выигранным тендерам за последние семь дней: сумма, ответственный, отрасль и что важно вынести на планёрку.",crm.get_company; crm.search_deals; database.query; excel.read,11,False,True,56,288,65582,65926,35.0,chars_div_4_estimate,61522.37,928.03,-60594.34,False
sess_20260716_000006,sess_20260716_000006,usr_000009,agent_sales_02,Маркетинг,2026-07-16T10:59:00Z,Анализ данных и отчетность,Выгрузка CRM в Excel,source_label,"Нужна выгрузка по клиентам из CRM для руководителя: активные сделки, стадия, сумма и последняя активность. Проверь, чтобы не было дублей.",crm.get_company; crm.search_deals; database.query; excel.create,11,False,True,55,287,65563,65905,35.0,chars_div_4_estimate,61502.78,928.03,-60574.75,False
sess_20260605_000007,sess_20260605_000007,usr_000019,agent_sales_02,Продажи,2026-06-05T12:03:00Z,Работа с задачами и проектами,Разбор задач Jira,source_label,"Покажи мои задачи на эту неделю, отдельно просроченные и блокированные. Для двух самых срочных собери контекст из комментариев.",confluence.search; jira.get_comments; jira.get_issue; jira.search_issue,11,False,True,54,284,65925,66263,12.0,chars_div_4_estimate,61836.86,318.18,-61518.68,False
sess_20260710_000008,sess_20260710_000008,usr_000016,agent_engineering_04,Финансы,2026-07-10T16:06:00Z,Работа с задачами и проектами,Мониторинг статусов проектов,source_label,"Проверь статусы проектов в ИСУП. Интересуют переходы в риск, просрочки контрольных точек и проекты без обновления больше недели.",isup.get_milestones; isup.get_project; isup.search_projects; jira.search_issue,11,False,True,55,284,67128,67467,12.0,chars_div_4_estimate,62960.44,318.18,-62642.26,False
sess_20260603_000009,sess_20260603_000009,usr_000018,agent_project_03,Финансы,2026-06-03T10:15:00Z,Управление коммуникациями,Разбор почты и ответ клиенту,source_label,"Прочитай цепочку с Орбита, скажи, где мы обещали вернуться с расчётом, и предложи ответ без обещаний, которые пока не можем выполнить.",calendar.get_events; crm.get_company; gmail.get_thread; gmail.search,11,False,True,56,293,65685,66034,15.0,chars_div_4_estimate,61623.16,397.73,-61225.43,False
sess_20260609_000010,sess_20260609_000010,usr_000004,agent_project_03,Разработка,2026-06-09T09:01:00Z,Управление коммуникациями,Итоги встречи,source_label,"Собери из записи встречи итоги, решения, владельцев и дедлайны. Потом подготовь короткое сообщение в командный чат.",calendar.get_event; contacts.lookup; meeting.transcript; slack.get_channel_history,11,False,True,52,287,62721,63060,15.0,chars_div_4_estimate,58847.81,397.73,-58450.08,False
sess_20260622_000011,sess_20260622_000011,usr_000022,agent_engineering_04,Финансы,2026-06-22T14:59:00Z,Помощь с кодом и техническими вопросами,Разбор инцидента,source_label,"Почему контейнер API упал утром? Посмотри логи, последние деплои и связанные задачи. Нужен человеческий вывод: причина, влияние, что уже сделано.",docker.get_containers; git.get_commits; jira.search_issue; monitoring.get_metrics,10,False,False,37,170,57517,57724,25.0,chars_div_4_estimate,53868.24,662.88,-53205.36,False
